DP_NODE_ID,ORIGINATING_LINK_ID,DEST_LINK_ID,RAMP,BIF,CA,FILENAME,SIDE,SIGN_DEST,JV_ORIGIN,ISO_COUNTRY_CODE,GMS_SVG,GMS_TEMPLATE,LATITUDE,LONGITUDE,MDPS,MDPS_APPROX,TUNNEL_ORIGIN_LINK,TUNNEL_DEST_LINK,ORIGIN_BEARING,DEST_BEARING,DP2_NODE_ID
864645014,810477228,848737791,Y,N,Y,B42RR21.SVG,R,-1,801223219,THA,GMS_TH.SVG,,13.64346,100.68178,Y,N,N/A,N/A,31.09746,41.54221,864645015
864657215,810477232,801241614,Y,Y,N,B12.SVG,L,801241614,810477232,THA,GMS_TH.SVG,EXIT_A_L,13.64653,100.68302,N,N/A,N,N,358.73479,359.32921,
864657215,810477232,848537170,Y,Y,N,B12.SVG,R,848537170,810477232,THA,GMS_TH.SVG,EXIT_A_R,13.64653,100.68302,N,N/A,N,N,358.73479,9.48216,
806903797,810486281,728182564,Y,Y,N,B32LB12.SVG,L,728182564,810486283,THA,GMS_TH.SVG,EXIT_A_L,13.82956,100.67323,Y,N,N/A,N/A,133.79594,124.05243,806870962
806903797,810486281,728182566,N,Y,N,B32LB12.SVG,M,728182566,810486283,THA,GMS_TH.SVG,EXIT_A_R,13.82956,100.67323,Y,N,N/A,N/A,133.79594,124.05243,806870962
806903797,810486281,810486289,Y,Y,N,B32LB12.SVG,R,-1,810486281,THA,GMS_TH.SVG,,13.82957,100.67222,Y,N,N/A,N/A,133.79594,139.64758,806870962
806870962,810486283,728182564,Y,Y,N,B12.SVG,L,728182564,810486283,THA,GMS_TH.SVG,EXIT_A_L,13.82956,100.67323,N,N/A,N,N,48.80186,32.9166,
806870962,810486283,728182566,N,Y,N,B12.SVG,R,728182566,810486283,THA,GMS_TH.SVG,EXIT_A_R,13.82956,100.67323,N,N/A,N,N,48.80186,44.15732,
871359854,810487907,848577448,Y,N,Y,L11.SVG,L,-1,810487907,THA,GMS_TH.SVG,,13.64697,100.68683,N,N/A,N,N,300.85895,282.88083,
871359854,810487907,865055525,Y,N,Y,L11.SVG,R,-1,810487907,THA,GMS_TH.SVG,,13.64697,100.68683,N,N/A,N,N,300.85895,297.22702,
812652916,810487908,726289283,N,N,Y,L32.SVG,R,726289283,810487908,THA,GMS_TH.SVG,SON_A,13.64465,100.69143,N,N/A,N,N,299.66798,300.57248,
812652916,810487908,808956544,Y,N,Y,L32.SVG,L,808956544,810487908,THA,GMS_TH.SVG,EXIT_B_L,13.64465,100.69143,N,N/A,N,N,299.66798,287.82655,
