#gen_0;gen_1;gen_2;level;genre_is_brand;importance;genre_type;org_code1;org_code2;chaincode;genre_id
1;5;233;2;Y;;null;110101;;3319;434
2;3;31;2;Y;;null;130102;;2F3D;556
1;4;51;2;Y;;null;110102;;2F9A;212
2;4;65;2;Y;;null;130106;;2232;652
4;2;35;2;Y;;null;120101;;107D;1094
2;14;4;2;Y;;null;130406;;3490;849
1;8;7;2;Y;;null;110302;;3058;477
1;4;65;2;Y;;null;110102;;3083;205
2;7;0;1;N;;null;130401;;;765
4;2;20;2;Y;;null;120101;;10D9;1065
1;5;5;2;Y;;null;110101;;3358;226
9;4;92;2;Y;;null;150101;;6055;1508
2;4;17;2;Y;;null;130106;;2F6A;675
2;3;61;2;Y;;null;130102;;2F62;585
9;4;105;2;Y;;null;150101;;6019;1516
2;13;8;2;Y;;null;130501;;2F75;827
3;0;0;0;N;;null;;;;958
4;2;86;2;Y;;null;120101;;4088;1172
9;4;51;2;Y;;null;150101;;603C;1504
9;4;0;1;N;;null;150101;;;1490
2;9;20;2;Y;;null;130201;;34D8;802
5;9;16;2;Y;;null;180209;;2249;1400
4;2;171;2;Y;;null;120101;;405F;1098
1;5;95;2;Y;;null;110101;;3364;379
4;3;138;2;Y;;null;120102;;4114;1257
9;4;33;2;Y;;null;150101;;6027;1553
4;2;12;2;Y;;null;120101;;10C1;1054
1;5;223;2;Y;;null;110101;;3087;451
9;4;36;2;Y;;null;150101;;6075;1590
4;3;35;2;Y;;null;120102;;1079;1285
5;12;1;2;Y;;null;180201;;2246;1409
3;7;6;2;Y;;null;200201;;8004;969
1;5;133;2;Y;;null;110101;;306F;316
1;8;5;2;Y;;null;110302;;2FCB;481
2;6;53;2;Y;;null;130301;;34BF;718
1;5;60;2;Y;;null;110101;;311E;318
4;3;139;2;Y;;null;120102;;1031;1242
4;3;24;2;Y;;null;120102;;4061;1311
4;2;101;2;Y;;null;120101;;410B;1193
2;6;64;2;Y;;null;130301;;349A;743
9;4;102;2;Y;;null;150101;;6059;1519
4;2;221;2;Y;;null;120101;;107A;1017
9;4;64;2;Y;;null;150101;;6038;1512
4;3;132;2;Y;;null;120102;;1091;1301
9;4;97;2;Y;;null;150101;;6026;1568
6;3;2;2;N;;null;190202;;;1650
6;12;0;1;N;;null;170108;;;1442
2;3;47;2;Y;;null;130102;;2F1E;531
9;4;15;2;Y;;null;150101;;6067;1530
7;4;6;2;Y;;null;210302;;2FFC;1451
9;6;0;1;N;;null;200405;;;1615
2;18;0;1;N;;null;130410;;;909
2;5;1;2;Y;;null;130601;;2307;688
9;4;61;2;Y;;null;150101;;6031;1495
9;4;75;2;Y;;null;150101;;6046;1575
1;8;13;2;Y;;null;110302;;340D;484
4;2;73;2;Y;;null;120101;;1056;1131
2;1;0;1;N;;0;;;;488
9;4;101;2;Y;;null;150101;;6061;1581
1;5;75;2;Y;;null;110101;;3460;387
6;6;2;2;Y;;null;170109;;7011;1432
9;4;67;2;Y;;null;150101;;604B;1511
1;5;125;2;Y;;null;110101;;2FF4;441
1;4;35;2;Y;;null;110102;;3305;166
9;4;106;2;Y;;null;150101;;6033;1518
2;3;59;2;Y;;null;130102;;2F36;533
7;8;0;1;N;;null;230209;;;1464
1;4;1;2;Y;;null;110102;;3333;149
2;13;19;2;Y;;null;130501;;2F7B;820
2;13;10;2;Y;;null;130501;;2F7E;823
2;3;29;2;Y;;null;130102;;2F4F;592
2;2;15;2;Y;;null;130105;;2228;500
9;4;118;2;Y;;null;150101;;6073;1551
4;3;7;2;Y;;null;120102;;1026;1255
2;3;2;2;Y;;null;130102;;2F35;564
2;21;15;2;Y;;null;130303;;3544;927
4;2;24;2;Y;;null;120101;;4113;1069
4;3;14;2;Y;;null;120102;;106E;1271
1;2;79;2;Y;;null;110200;;3338;50
2;4;5;2;Y;;null;130106;;2215;607
