#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;name;genre_type;org_code;series;lang;filename
249;Y;6;15;34;2;匯豐銀行;null;307100;匯豐銀行;CHT;
250;Y;6;15;35;2;國泰世華銀行;null;307100;國泰世華銀行;CHT;
251;Y;6;15;36;2;渣打銀行;null;307100;渣打銀行;CHT;
252;Y;6;15;37;2;萬泰銀行;null;307100;萬泰銀行;CHT;
253;N;6;15;38;2;其它銀行;null;307100;;CHT;
254;N;6;16;0;1;藥粧店;null;0;;CHT;
255;N;6;16;1;2;所有藥粧店;0;0;;CHT;
256;Y;6;16;2;2;杏一醫療用品;null;307600;杏一醫療用品;CHT;
257;Y;6;16;3;2;維康醫療用品;null;307600;維康醫療用品;CHT;
258;Y;6;16;4;2;屈臣氏;null;307600;屈臣氏;CHT;
259;Y;6;16;5;2;健康人生藥局;null;307600;健康人生藥局;CHT;
260;Y;6;16;6;2;康是美;null;307600;康是美;CHT;
261;Y;6;16;7;2;啄木鳥藥局;null;307600;啄木鳥藥局;CHT;
262;Y;6;16;8;2;達康美得藥局;null;307600;達康美得藥局;CHT;
263;Y;6;16;9;2;丁丁連鎖藥妝;null;307600;丁丁連鎖藥妝;CHT;
264;Y;6;16;10;2;博登藥局;null;307600;博登藥局;CHT;
265;Y;6;16;11;2;美體小舖;null;307600;美體小舖;CHT;
266;Y;6;16;12;2;躍獅連鎖藥局;null;307600;躍獅連鎖藥局;CHT;
267;Y;6;16;13;2;佑全保健藥妝;null;307600;佑全保健藥妝;CHT;
268;N;6;16;14;2;其它藥粧店;null;307600;;CHT;
269;N;6;17;0;1;圖書館;null;312200;;CHT;
270;N;6;18;0;1;社區大樓;null;326200;;CHT;
271;N;6;19;0;1;駐華機構;null;328200;;CHT;
272;N;6;20;0;1;其它社區;null;0;;CHT;
272;N;6;20;0;1;其它社區;null;301000;;CHT;
272;N;6;20;0;1;其它社區;null;301300;;CHT;
272;N;6;20;0;1;其它社區;null;301400;;CHT;
272;N;6;20;0;1;其它社區;null;301500;;CHT;
272;N;6;20;0;1;其它社區;null;304400;;CHT;
272;N;6;20;0;1;其它社區;null;305200;;CHT;
273;N;7;0;0;0;宗教;null;0;;CHT;
274;N;7;1;0;1;寺廟;null;312500;;CHT;
275;N;7;2;0;1;教會;null;312600;;CHT;
276;N;7;3;0;1;宗祠;null;312400;;CHT;
277;N;7;4;0;1;公墓墓地;null;310800;;CHT;
278;N;8;0;0;0;其他;null;0;;CHT;
279;N;8;1;0;1;殯儀館;null;307200;;CHT;
280;N;8;2;0;1;房屋仲介公司;null;0;;CHT;
281;N;8;2;1;2;所有房屋仲介公司;0;0;;CHT;
282;Y;8;2;2;2;２１世紀不動產;null;307300;２１世紀不動產;CHT;
283;Y;8;2;3;2;永慶房屋;null;307300;永慶房屋;CHT;
284;Y;8;2;4;2;永春不動產;null;307300;永春不動產;CHT;
285;Y;8;2;5;2;僑福房屋;null;307300;僑福房屋;CHT;
286;Y;8;2;6;2;群義房屋;null;307300;群義房屋;CHT;
287;Y;8;2;7;2;住商不動產;null;307300;住商不動產;CHT;
288;Y;8;2;8;2;信義房屋;null;307300;信義房屋;CHT;
289;Y;8;2;9;2;全國不動產;null;307300;全國不動產;CHT;
290;Y;8;2;10;2;太平洋房屋;null;307300;太平洋房屋;CHT;
291;Y;8;2;11;2;台慶不動產;null;307300;台慶不動產;CHT;
292;Y;8;2;12;2;台灣房屋;null;307300;台灣房屋;CHT;
293;Y;8;2;13;2;中信房屋;null;307300;中信房屋;CHT;
294;Y;8;2;14;2;東森房屋;null;307300;東森房屋;CHT;
295;Y;8;2;15;2;南北不動產;null;307300;南北不動產;CHT;
296;Y;8;2;16;2;有巢氏房屋;null;307300;有巢氏房屋;CHT;
297;Y;8;2;17;2;惠雙房屋;null;307300;惠雙房屋;CHT;
298;N;8;2;18;2;其它房屋仲介公司;null;307300;;CHT;
299;N;8;3;0;1;報社;null;307900;;CHT;
300;N;8;4;0;1;電視台．廣播電台;null;308100;;CHT;
301;N;8;5;0;1;出版社;null;308200;;CHT;
302;N;8;6;0;1;保險公司;null;0;;CHT;
303;N;8;6;1;2;所有保險公司;0;0;;CHT;
304;Y;8;6;2;2;安聯人壽;null;308300;安聯人壽;CHT;
305;Y;8;6;3;2;遠雄人壽;null;308300;遠雄人壽;CHT;
306;Y;8;6;4;2;旺旺友聯產物保險;null;308300;旺旺友聯產物保險;CHT;
307;Y;8;6;5;2;華南產物保險;null;308300;華南產物保險;CHT;
308;Y;8;6;6;2;三商美邦人壽;null;308300;三商美邦人壽;CHT;
309;Y;8;6;7;2;新光人壽;null;308300;新光人壽;CHT;
310;Y;8;6;8;2;新光產物保險;null;308300;新光產物保險;CHT;
311;Y;8;6;9;2;全球人壽;null;308300;全球人壽;CHT;
312;Y;8;6;10;2;泰安產物保險;null;308300;泰安產物保險;CHT;
313;Y;8;6;11;2;台灣人壽;null;308300;台灣人壽;CHT;
314;Y;8;6;12;2;台灣產物保險;null;308300;台灣產物保險;CHT;
315;Y;8;6;13;2;第一產物保險;null;308300;第一產物保險;CHT;
316;Y;8;6;14;2;中國人壽;null;308300;中國人壽;CHT;
317;Y;8;6;15;2;兆豐產物保險;null;308300;兆豐產物保險;CHT;
318;Y;8;6;16;2;南山人壽;null;308300;南山人壽;CHT;
319;Y;8;6;17;2;富邦人壽;null;308300;富邦人壽;CHT;
320;Y;8;6;18;2;富邦產物保險;null;308300;富邦產物保險;CHT;
321;Y;8;6;19;2;明台產物保險;null;308300;明台產物保險;CHT;
322;Y;8;6;20;2;國泰人壽;null;308300;國泰人壽;CHT;
323;Y;8;6;21;2;國泰世紀產物保險;null;308300;國泰世紀產物保險;CHT;
324;N;8;6;22;2;其它保險公司;null;308300;;CHT;
325;N;8;7;0;1;公司 ．工廠;null;322100;;CHT;
326;N;8;8;0;1;自來水公司．淨水場;null;322400;;CHT;
