#per_code;is_brand;gen1;gen2;gen3;level;code_name;genre_type;org_code;series;poi_name;filename
214;N;6;9;5;2;高中高職;;302400;;;TWLG08301A_16A.bmp
215;N;6;9;6;2;大專院校;;302100;;;TWLG08201A_16A.bmp
216;N;6;10;0;1;補習班;;304000;;;TWLG08701A_16A.bmp
217;N;6;11;0;1;醫院;;304500;;;TWLG03501A_16A.bmp
218;N;6;12;0;1;診所;;305000;;;TWLG03601A_16A.bmp
219;N;6;13;0;1;安養設施;;305100;;;TWLG04901A_16A.bmp
220;N;6;14;0;1;金融機關;;306800;;;TWLG07701A_16A.bmp
221;N;6;15;0;1;銀行;;0;;;
222;N;6;15;1;2;所有銀行;0;0;;;
223;N;6;15;2;2;安泰銀行;;307100;安泰銀行;;TWCP09401A_16A.bmp
224;N;6;15;3;2;永豐商業銀行;;307100;永豐商業銀行;;TWLG07701A_16A.bmp
225;N;6;15;4;2;遠東商銀;;307100;遠東商銀;;TWLG07701A_16A.bmp
226;N;6;15;5;2;花旗（台灣）銀行;;307100;花旗（台灣）銀行;;TWLG07701A_16A.bmp
227;N;6;15;6;2;華泰銀行;;307100;華泰銀行;;TWLG07701A_16A.bmp
228;N;6;15;7;2;華南銀行;;307100;華南銀行;;TWLG07701A_16A.bmp
229;N;6;15;8;2;京城商銀;;307100;京城商銀;;TWLG07701A_16A.bmp
230;N;6;15;9;2;玉山銀行;;307100;玉山銀行;;TWCP04501A_16A.bmp
231;N;6;15;10;2;元大銀行;;307100;元大銀行;;TWLG07701A_16A.bmp
232;N;6;15;11;2;高雄銀行;;307100;高雄銀行;;TWLG07701A_16A.bmp
233;N;6;15;12;2;合作金庫商業銀行;;307100;合作金庫商業銀行;;TWCP03301A_16A.bmp
234;N;6;15;13;2;三信商銀;;307100;三信商銀;;TWLG07701A_16A.bmp
235;N;6;15;14;2;彰化銀行;;307100;彰化銀行;;TWCP03701A_16A.bmp
236;N;6;15;15;2;上海銀行;;307100;上海銀行;;TWLG07701A_16A.bmp
237;N;6;15;16;2;新光銀行;;307100;新光銀行;;TWLG07701A_16A.bmp
238;N;6;15;17;2;瑞興商業銀行;;307100;瑞興商業銀行;;TWLG07701A_16A.bmp
239;N;6;15;18;2;星展銀行;;307100;星展銀行;;TWLG07701A_16A.bmp
240;N;6;15;19;2;台新銀行;;307100;台新銀行;;TWCP04401A_16A.bmp
241;N;6;15;20;2;台中銀行;;307100;台中銀行;;TWCP09201A_16A.bmp
242;N;6;15;21;2;台北富邦銀行;;307100;台北富邦銀行;;TWCP03501A_16A.bmp
243;N;6;15;22;2;台灣企銀;;307100;台灣企銀;;TWCP07201A_16A.bmp
244;N;6;15;23;2;台灣銀行;;307100;台灣銀行;;TWCP03401A_16A.bmp
245;N;6;15;24;2;大眾銀行;;307100;大眾銀行;;TWCP08101A_16A.bmp
246;N;6;15;25;2;第一銀行;;307100;第一銀行;;TWCP03601A_16A.bmp
247;N;6;15;26;2;中華開發工業銀行;;307100;中華開發工業銀行;;TWLG07701A_16A.bmp
248;N;6;15;27;2;中國信託商銀;;307100;中國信託商銀;;TWCP04301A_16A.bmp
249;N;6;15;28;2;兆豐國際商業銀行;;307100;兆豐國際商業銀行;;TWCP04601A_16A.bmp
250;N;6;15;29;2;土地銀行;;307100;土地銀行;;TWCP03801A_16A.bmp
251;N;6;15;30;2;日盛國際商業銀行;;307100;日盛國際商業銀行;;TWLG07701A_16A.bmp
252;N;6;15;31;2;板信商銀;;307100;板信商銀;;TWCP09801A_16A.bmp
253;N;6;15;32;2;陽信商銀;;307100;陽信商銀;;TWCP04701A_16A.bmp
254;N;6;15;33;2;聯邦銀行;;307100;聯邦銀行;;TWCP12101A_16A.bmp
255;N;6;15;34;2;匯豐銀行;;307100;匯豐銀行;;TWLG07701A_16A.bmp
256;N;6;15;35;2;國泰世華銀行;;307100;國泰世華銀行;;TWLG07701A_16A.bmp
257;N;6;15;36;2;渣打銀行;;307100;渣打銀行;;TWCP07802A_16A.bmp
258;N;6;15;37;2;萬泰銀行;;307100;萬泰銀行;;TWLG07701A_16A.bmp
259;N;6;15;38;2;其它銀行;;307100;;;TWLG07701A_16A.bmp
260;N;6;16;0;1;藥粧店;;0;;;
261;N;6;16;1;2;所有藥粧店;0;0;;;
262;N;6;16;2;2;杏一醫療用品;;307600;杏一醫療用品;;TWLG01001A_16A.bmp
263;N;6;16;3;2;維康醫療用品;;307600;維康醫療用品;;TWLG01001A_16A.bmp
264;N;6;16;4;2;屈臣氏;;307600;屈臣氏;;TWLG01001A_16A.bmp
265;N;6;16;5;2;健康人生藥局;;307600;健康人生藥局;;TWLG01001A_16A.bmp
266;N;6;16;6;2;康是美;;307600;康是美;;TWCP04901A_16A.bmp
267;N;6;16;7;2;啄木鳥藥局;;307600;啄木鳥藥局;;TWLG01001A_16A.bmp
268;N;6;16;8;2;達康美得藥局;;307600;達康美得藥局;;TWLG01001A_16A.bmp
269;N;6;16;9;2;丁丁連鎖藥妝;;307600;丁丁連鎖藥妝;;TWCP09601A_16A.bmp
270;N;6;16;10;2;博登藥局;;307600;博登藥局;;TWCP09501A_16A.bmp
271;N;6;16;11;2;美體小舖;;307600;美體小舖;;TWLG01001A_16A.bmp
272;N;6;16;12;2;躍獅連鎖藥局;;307600;躍獅連鎖藥局;;TWLG01001A_16A.bmp
273;N;6;16;13;2;佑全保健藥妝;;307600;佑全保健藥妝;;TWLG01001A_16A.bmp
274;N;6;16;14;2;其它藥粧店;;307600;;;TWLG01001A_16A.bmp
275;N;6;17;0;1;圖書館;;312200;;;TWLG03401A_16A.bmp
276;N;6;18;0;1;社區大樓;;326200;;;
277;N;6;19;0;1;駐華機構;;328200;;;TWLG05201A_16A.bmp
278;N;6;20;0;1;其它社區;;301000;;;TWLG04301A_16A.bmp
278;N;6;20;0;1;其它社區;;305200;;;TWLG09801A_16A.bmp
278;N;6;20;0;1;其它社區;;304400;;;TWLG04801A_16A.bmp
278;N;6;20;0;1;其它社區;;0;;;
279;N;6;20;1;2;戶政事務所;3;301300;;;TWLG04501A_16A.bmp
280;N;6;20;2;2;地政事務所;3;301400;;;TWLG04601A_16A.bmp
281;N;6;20;3;2;違規拖吊保管場;3;301500;;;TWLG04701A_16A.bmp
282;N;7;0;0;0;宗教;;0;;;
283;N;7;1;0;1;寺廟;;312500;;;TWLG06801A_16A.bmp
284;N;7;2;0;1;教會;;312600;;;TWLG06901A_16A.bmp
285;N;7;3;0;1;宗祠;;312400;;;TWLG07101A_16A.bmp
286;N;7;4;0;1;公墓墓地;;310800;;;TWLG05301A_16A.bmp
287;N;8;0;0;0;其他;;0;;;
288;N;8;1;0;1;殯儀館;;307200;;;TWLG05001A_16A.bmp
289;N;8;2;0;1;房屋仲介公司;;0;;;
290;N;8;2;1;2;所有房屋仲介公司;0;0;;;
291;N;8;2;2;2;２１世紀不動產;;307300;２１世紀不動產;;TWCP10101A_16A.bmp
292;N;8;2;3;2;永慶房屋;;307300;永慶房屋;;TWCP02202A_16A.bmp
293;N;8;2;4;2;永春不動產;;307300;永春不動產;;TWLG08101A_16A.bmp
294;N;8;2;5;2;僑福房屋;;307300;僑福房屋;;TWLG08101A_16A.bmp
295;N;8;2;6;2;群義房屋;;307300;群義房屋;;TWLG08101A_16A.bmp
296;N;8;2;7;2;住商不動產;;307300;住商不動產;;TWCP02101A_16A.bmp
297;N;8;2;8;2;信義房屋;;307300;信義房屋;;TWCP02301A_16A.bmp
298;N;8;2;9;2;全國不動產;;307300;全國不動產;;TWLG08101A_16A.bmp
299;N;8;2;10;2;太平洋房屋;;307300;太平洋房屋;;TWCP07003A_16A.bmp
300;N;8;2;11;2;台慶不動產;;307300;台慶不動產;;TWLG08101A_16A.bmp
301;N;8;2;12;2;台灣房屋;;307300;台灣房屋;;TWLG08101A_16A.bmp
302;N;8;2;13;2;中信房屋;;307300;中信房屋;;TWCP09101A_16A.bmp
303;N;8;2;14;2;東森房屋;;307300;東森房屋;;TWCP04801A_16A.bmp
304;N;8;2;15;2;南北不動產;;307300;南北不動產;;TWLG08101A_16A.bmp
305;N;8;2;16;2;有巢氏房屋;;307300;有巢氏房屋;;TWLG08101A_16A.bmp
306;N;8;2;17;2;惠雙房屋;;307300;惠雙房屋;;TWLG08101A_16A.bmp
307;N;8;2;18;2;其它房屋仲介公司;;307300;;;TWLG08101A_16A.bmp
308;N;8;3;0;1;報社;;307900;;;TWLG01301A_16A.bmp
309;N;8;4;0;1;電視台．廣播電台;;308100;;;TWLG09301A_16A.bmp
