2016-01-21 10:45:43,200 - INFO: proj_rdf_module----start to process rdf_ase original data.
2016-01-21 10:45:43,200 - INFO: spotguide_tbl----Start make spotguide_tbl.
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 809113765,outlink = 718642093 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 821073961,outlink = 116176686 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 806678857,outlink = 734395489 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 912785614,outlink = 819484539 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 950240155,outlink = 950233057 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 777234509,outlink = 836163999 pathlink is null
2016-01-21 10:46:01,611 - WARNING: spotguide_tbl----inlink = 782745582,outlink = 806973174 pathlink is null
2016-01-21 10:46:01,627 - WARNING: spotguide_tbl----inlink = 877315198,outlink = 809331784 pathlink is null
2016-01-21 10:46:01,627 - WARNING: spotguide_tbl----inlink = 920934711,outlink = 906756757 pathlink is null
2016-01-21 10:46:01,627 - WARNING: spotguide_tbl----inlink = 1104399731,outlink = 1026835925 pathlink is null
2016-01-21 10:46:01,627 - WARNING: spotguide_tbl----inlink = 783863279,outlink = 783863805 pathlink is null
2016-01-21 10:46:01,627 - WARNING: spotguide_tbl----inlink = 752191991,outlink = 752187504 pathlink is null
2016-01-21 10:46:01,627 - WARNING: spotguide_tbl----inlink = 871784986,outlink = 830118063 pathlink is null
2016-01-21 10:46:01,627 - WARNING: spotguide_tbl----inlink = 821154554,outlink = 806984797 pathlink is null
2016-01-21 10:46:01,627 - WARNING: spotguide_tbl----inlink = 801757172,outlink = 802879962 pathlink is null
2016-01-21 10:46:01,627 - WARNING: spotguide_tbl----inlink = 983428001,outlink = 753682299 pathlink is null
2016-01-21 10:46:01,627 - WARNING: spotguide_tbl----inlink = 832870398,outlink = 781361113 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 918256584,outlink = 718590982 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 806971787,outlink = 778895949 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 991091508,outlink = 781442788 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 752179362,outlink = 752160214 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 810280030,outlink = 809358566 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 947485731,outlink = 755234343 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 821144090,outlink = 1069669201 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 810315257,outlink = 791134849 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 908145722,outlink = 908145711 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 844685638,outlink = 954967300 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 888300358,outlink = 966271829 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 891774017,outlink = 807439181 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 851642408,outlink = 1090889157 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 836043617,outlink = 836043618 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 1032841376,outlink = 1103904467 pathlink is null
2016-01-21 10:46:01,641 - WARNING: spotguide_tbl----inlink = 1112731475,outlink = 911706678 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 1076375943,outlink = 1032763423 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 916187205,outlink = 914419779 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 778501727,outlink = 809463923 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 726835424,outlink = 833166461 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 880791725,outlink = 979872649 pathlink is null
2016-01-21 10:46:01,657 - WARNING: spotguide_tbl----inlink = 821066122,outlink = 752196017 pathlink is null
