lonlat;field;value
'MULTILINESTRING((111.83151 2.31415,111.83273 2.31728,111.83279 2.31755,111.8328 2.31781))';one_way;1
'MULTILINESTRING((111.83821 2.27855,111.83828 2.27838,111.83902 2.27755))';one_way;1
'MULTILINESTRING((111.83902 2.27755,111.83948 2.277))';one_way;1
'MULTILINESTRING((111.83948 2.277,111.83988 2.27651))';one_way;1
'MULTILINESTRING((111.83988 2.27651,111.84054 2.27566))';one_way;1
'MULTILINESTRING((111.84054 2.27566,111.84127 2.27468))';one_way;1
'MULTILINESTRING((111.84127 2.27468,111.84159 2.2743))';one_way;1
'MULTILINESTRING((111.84159 2.2743,111.84186 2.27394))';one_way;1
'MULTILINESTRING((111.84186 2.27394,111.84217 2.27339))';one_way;1
'MULTILINESTRING((111.84217 2.27339,111.84239 2.27299))';one_way;1
'MULTILINESTRING((111.84239 2.27299,111.84259 2.2726,111.8428 2.27218))';one_way;1
'MULTILINESTRING((111.8428 2.27218,111.84312 2.2715))';one_way;1
'MULTILINESTRING((111.84312 2.2715,111.84384 2.27005))';one_way;1
'MULTILINESTRING((111.84384 2.27005,111.8442 2.26923,111.84445 2.26852,111.84452 2.2683))';one_way;1
'MULTILINESTRING((111.83152 2.28774,111.83142 2.28794,111.83129 2.28818))';one_way;1
'MULTILINESTRING((111.83129 2.28818,111.83122 2.28833))';one_way;1
'MULTILINESTRING((111.83122 2.28833,111.83098 2.28868))';one_way;1
'MULTILINESTRING((111.83098 2.28868,111.83068 2.28911))';one_way;1
'MULTILINESTRING((111.83068 2.28911,111.83052 2.28942))';one_way;1
'MULTILINESTRING((111.83052 2.28942,111.83039 2.28958,111.83017 2.28975))';one_way;1
'MULTILINESTRING((111.83017 2.28975,111.8301 2.28978,111.82984 2.2899))';one_way;1
'MULTILINESTRING((111.82984 2.2899,111.82941 2.29015))';one_way;1
'MULTILINESTRING((111.82941 2.29015,111.82895 2.2904,111.8288 2.29048))';one_way;1
'MULTILINESTRING((111.8288 2.29048,111.82842 2.29068))';one_way;1
'MULTILINESTRING((111.82842 2.29068,111.82821 2.2908))';one_way;1
'MULTILINESTRING((111.82821 2.2908,111.82791 2.29098))';one_way;1
'MULTILINESTRING((111.82791 2.29098,111.82778 2.29107,111.82772 2.29116))';one_way;1
'MULTILINESTRING((111.8422 2.29488,111.84236 2.29463))';one_way;1
'MULTILINESTRING((111.84236 2.29463,111.84301 2.29346,111.84331 2.29295,111.84352 2.29258,111.84375 2.29218))';one_way;1
'MULTILINESTRING((111.84375 2.29218,111.84447 2.29089,111.84492 2.29006))';one_way;1
'MULTILINESTRING((111.84492 2.29006,111.84589 2.28771))';one_way;1
'MULTILINESTRING((111.84589 2.28771,111.84629 2.28664))';one_way;1
'MULTILINESTRING((111.84629 2.28664,111.84648 2.28612,111.84661 2.28586,111.84672 2.28567,111.84685 2.28556,111.84698 2.28553))';one_way;1
'MULTILINESTRING((113.0709 3.1976,113.0709 3.19736))';one_way;1
'MULTILINESTRING((113.0709 3.19736,113.07089 3.1962))';one_way;1
'MULTILINESTRING((113.07089 3.1962,113.07085 3.19525))';one_way;1
'MULTILINESTRING((113.07085 3.19525,113.07083 3.19463))';one_way;1
'MULTILINESTRING((113.07083 3.19463,113.07083 3.19262))';one_way;1
'MULTILINESTRING((113.07083 3.19262,113.07083 3.19205,113.07084 3.19149,113.07089 3.19108,113.07101 3.19055,113.07112 3.19004,113.07144 3.18856,113.07159 3.18802,113.07183 3.1872,113.07215 3.18626,113.07226 3.18594,113.07238 3.18562,113.07254 3.18531,113.07263 3.18515,113.07273 3.18501,113.07295 3.18473,113.07318 3.18448,113.07341 3.18422,113.0736 3.18396,113.07381 3.18355,113.07396 3.18308,113.07403 3.18278,113.07406 3.18247,113.07405 3.18184,113.07402 3.18044,113.07397 3.17967))';one_way;1
'MULTILINESTRING((113.07397 3.17967,113.07394 3.1792))';one_way;1
'MULTILINESTRING((111.83307 2.31774,111.83295 2.31745,111.83265 2.31669,111.83229 2.3158))';one_way;1
'MULTILINESTRING((111.83229 2.3158,111.83201 2.31509,111.83159 2.31406))';one_way;1
'MULTILINESTRING((111.83159 2.31406,111.83134 2.31344,111.83127 2.31316,111.83125 2.31295))';one_way;1
'MULTILINESTRING((111.83102 2.3124,111.83094 2.31234,111.83084 2.31222,111.83071 2.31194))';one_way;1
'MULTILINESTRING((111.83071 2.31194,111.83021 2.31077))';one_way;1
'MULTILINESTRING((111.83021 2.31077,111.83007 2.31044))';one_way;1
'MULTILINESTRING((111.83007 2.31044,111.82961 2.30926))';one_way;1
'MULTILINESTRING((111.82961 2.30926,111.82952 2.30902,111.82933 2.30852))';one_way;1
'MULTILINESTRING((111.82933 2.30852,111.82907 2.30788))';one_way;1
'MULTILINESTRING((111.82907 2.30788,111.82888 2.30739))';one_way;1
'MULTILINESTRING((111.82888 2.30739,111.82854 2.30653))';one_way;1
'MULTILINESTRING((111.82854 2.30653,111.82838 2.30608,111.82827 2.30577))';one_way;1
'MULTILINESTRING((111.82827 2.30577,111.82822 2.30564))';one_way;1
'MULTILINESTRING((111.82822 2.30564,111.82801 2.30514,111.82783 2.30466))';one_way;1
'MULTILINESTRING((111.82783 2.30466,111.82751 2.30387))';one_way;1
'MULTILINESTRING((111.82751 2.30387,111.82726 2.30323))';one_way;1
'MULTILINESTRING((111.82726 2.30323,111.82695 2.30249))';one_way;1
'MULTILINESTRING((111.82695 2.30249,111.82681 2.30214))';one_way;1
'MULTILINESTRING((111.82681 2.30214,111.82644 2.30119))';one_way;1
'MULTILINESTRING((111.82644 2.30119,111.8261 2.30027))';one_way;1
'MULTILINESTRING((111.8261 2.30027,111.82594 2.29975,111.82583 2.29924,111.82577 2.29899))';one_way;1
'MULTILINESTRING((111.82577 2.29899,111.8254 2.29669,111.82526 2.29588))';one_way;1
'MULTILINESTRING((111.82526 2.29588,111.82501 2.29475))';one_way;1
'MULTILINESTRING((114.00511 4.43478,114.0037 4.43503))';one_way;1
'MULTILINESTRING((103.74407 1.46133,103.74378 1.4613))';one_way;1
'MULTILINESTRING((103.74378 1.4613,103.74317 1.46139,103.74201 1.4616))';one_way;1
'MULTILINESTRING((103.74201 1.4616,103.74163 1.46169,103.74113 1.4618,103.7404 1.46205))';one_way;1
'MULTILINESTRING((103.7404 1.46205,103.73939 1.46249,103.73905 1.46267))';one_way;1
'MULTILINESTRING((103.74131 1.51541,103.74098 1.51534,103.74008 1.51527))';one_way;1
'MULTILINESTRING((103.74008 1.51527,103.73935 1.51516,103.73834 1.51487))';one_way;1
'MULTILINESTRING((103.73834 1.51487,103.7371 1.51454,103.73651 1.51432))';one_way;1
'MULTILINESTRING((103.73651 1.51432,103.73625 1.5142,103.73551 1.51367,103.73435 1.5127,103.7331 1.51167))';one_way;1
'MULTILINESTRING((103.7331 1.51167,103.7322 1.511,103.7314 1.51045,103.73092 1.51019,103.73063 1.51006,103.73031 1.50995,103.72927 1.50975,103.72895 1.50972,103.72805 1.50975))';one_way;1
'MULTILINESTRING((103.72805 1.50975,103.72738 1.5098))';one_way;1
'MULTILINESTRING((103.72738 1.5098,103.72628 1.50982,103.72293 1.5097))';one_way;1
'MULTILINESTRING((103.72293 1.5097,103.72283 1.5097))';one_way;1
'MULTILINESTRING((103.72283 1.5097,103.71991 1.50962,103.71969 1.50958,103.71942 1.50949,103.71884 1.50923))';one_way;1
'MULTILINESTRING((103.71884 1.50923,103.71795 1.50881,103.71561 1.5081,103.71531 1.50796,103.71514 1.50784,103.71501 1.50773,103.71492 1.50759,103.71454 1.50686,103.71332 1.50396,103.71319 1.50373,103.71302 1.50355,103.71282 1.50339,103.71171 1.50276))';one_way;1
'MULTILINESTRING((103.71171 1.50276,103.70977 1.50173,103.70945 1.5015,103.70883 1.50115,103.7087 1.50105,103.70858 1.50088))';one_way;1
'MULTILINESTRING((103.70858 1.50088,103.70848 1.50068,103.7074 1.49911))';one_way;1
'MULTILINESTRING((103.7074 1.49911,103.70618 1.49726))';one_way;1
'MULTILINESTRING((103.70618 1.49726,103.70613 1.49718))';one_way;1
'MULTILINESTRING((103.70613 1.49718,103.70587 1.49678))';one_way;1
'MULTILINESTRING((103.70587 1.49678,103.7055 1.49621,103.70495 1.49548))';one_way;1
'MULTILINESTRING((103.70495 1.49548,103.70452 1.49489))';one_way;1
'MULTILINESTRING((103.70452 1.49489,103.70442 1.49474))';one_way;1
'MULTILINESTRING((101.96485 2.72432,101.96412 2.72391,101.96377 2.72379,101.9634 2.72369,101.96309 2.72364))';one_way;1
'MULTILINESTRING((101.96309 2.72364,101.96246 2.7236,101.96234 2.72361))';one_way;1
'MULTILINESTRING((101.96234 2.72361,101.96194 2.72365))';one_way;1
'MULTILINESTRING((101.96194 2.72365,101.96116 2.72377))';one_way;1
'MULTILINESTRING((101.96116 2.72377,101.96081 2.72382,101.96049 2.72387,101.95944 2.72406,101.95901 2.72408,101.95857 2.72402))';one_way;1
'MULTILINESTRING((101.95857 2.72402,101.95847 2.72399,101.95812 2.72381,101.95757 2.72344,101.95705 2.72309,101.95675 2.72281))';one_way;1
'MULTILINESTRING((111.8611 2.26573,111.86116 2.26584))';one_way;1
'MULTILINESTRING((111.86116 2.26584,111.8613 2.26578))';one_way;1
'MULTILINESTRING((111.86123 2.26567,111.8611 2.26573))';one_way;1
'MULTILINESTRING((111.8613 2.26578,111.86123 2.26567))';one_way;1
'MULTILINESTRING((110.34137 1.5241,110.34159 1.52405))';one_way;1
'MULTILINESTRING((110.34159 1.52405,110.34176 1.52398,110.34204 1.52381))';one_way;1
'MULTILINESTRING((110.34204 1.52381,110.34214 1.52374))';one_way;1
'MULTILINESTRING((110.33504 1.50479,110.33477 1.50455,110.33464 1.50444,110.33451 1.50436,110.33435 1.50427,110.33393 1.50408))';one_way;1
'MULTILINESTRING((110.33393 1.50408,110.33372 1.50399,110.33359 1.50397,110.33348 1.50398,110.33339 1.50403,110.33335 1.50408,110.33332 1.50412,110.3333 1.50418,110.33325 1.50433))';one_way;1
'MULTILINESTRING((110.34201 1.52364,110.34194 1.52369))';one_way;1
'MULTILINESTRING((110.34194 1.52369,110.34156 1.52395))';one_way;1
'MULTILINESTRING((110.34156 1.52395,110.34137 1.5241))';one_way;1
'MULTILINESTRING((110.3409 1.54849,110.34114 1.5486,110.34123 1.54875,110.34127 1.54889,110.34133 1.54905))';one_way;1
'MULTILINESTRING((110.33753 1.54559,110.33749 1.54578,110.33747 1.54587,110.33744 1.54596,110.3374 1.54603,110.33734 1.54608,110.33728 1.54611,110.3371 1.54615))';one_way;1
'MULTILINESTRING((110.32991 1.59145,110.32968 1.59147,110.32953 1.59146,110.32929 1.59142,110.32912 1.59138,110.32889 1.59129))';one_way;1
'MULTILINESTRING((110.33623 1.55009,110.33626 1.55012,110.33642 1.55012))';one_way;1
'MULTILINESTRING((110.33642 1.55012,110.33654 1.55012))';one_way;1
'MULTILINESTRING((110.33654 1.55012,110.33718 1.55009))';one_way;1
'MULTILINESTRING((110.33718 1.55009,110.33744 1.55006))';one_way;1
'MULTILINESTRING((110.33744 1.55006,110.33751 1.55005,110.33758 1.55007,110.33763 1.5501,110.33766 1.55015,110.33768 1.55021))';one_way;1
'MULTILINESTRING((110.33723 1.54908,110.33736 1.5491,110.33744 1.54913,110.33753 1.54918,110.3376 1.54924,110.33765 1.54936))';one_way;1
'MULTILINESTRING((110.31668 1.58375,110.31661 1.58391,110.31653 1.58404,110.31642 1.58416,110.31636 1.58422,110.31615 1.58435))';one_way;1
'MULTILINESTRING((110.31615 1.58435,110.31642 1.58424,110.31661 1.58421,110.31675 1.58419,110.31684 1.58419))';one_way;1
'MULTILINESTRING((110.25659 1.5037,110.2571 1.50383,110.25743 1.50388,110.25778 1.50389,110.25934 1.5038,110.26022 1.50376))';one_way;1
'MULTILINESTRING((110.26022 1.50376,110.2611 1.50373,110.26139 1.50376,110.26192 1.50388,110.26261 1.50419,110.26404 1.50516,110.26483 1.50568,110.26536 1.50594,110.26614 1.50625))';one_way;1
'MULTILINESTRING((110.26614 1.50625,110.26654 1.50639,110.26737 1.50672))';one_way;1
'MULTILINESTRING((110.26737 1.50672,110.26777 1.50688))';one_way;1
'MULTILINESTRING((110.26777 1.50688,110.26941 1.50754,110.27018 1.50785,110.27175 1.50843))';one_way;1
'MULTILINESTRING((110.27175 1.50843,110.27222 1.50849,110.27328 1.50854,110.27423 1.50863,110.27618 1.50912))';one_way;1
'MULTILINESTRING((110.27618 1.50912,110.27684 1.50929,110.27722 1.50936,110.27742 1.50939,110.27769 1.5094,110.27797 1.50939,110.27838 1.50934,110.27909 1.50927,110.27954 1.50922,110.28062 1.50909,110.28261 1.50891))';one_way;1
'MULTILINESTRING((110.28261 1.50891,110.28274 1.5089))';one_way;1
'MULTILINESTRING((110.28274 1.5089,110.28302 1.50887,110.28512 1.50869))';one_way;1
